zone1,zone2,year,unit,capacity_max,capacity_min
bus266,bus232,2023,MW,0.0,0.0
bus232,bus266,2023,MW,0.0,0.0
bus266,bus235,2023,MW,0.0,0.0
bus235,bus266,2023,MW,0.0,0.0
bus267,bus226,2023,MW,0.0,0.0
bus226,bus267,2023,MW,0.0,0.0
bus267,bus262,2023,MW,0.0,0.0
bus262,bus267,2023,MW,0.0,0.0
bus268,bus266,2023,MW,0.0,0.0
bus266,bus268,2023,MW,0.0,0.0
bus268,bus269,2023,MW,0.0,0.0
bus269,bus268,2023,MW,0.0,0.0
bus268,bus271,2023,MW,0.0,0.0
bus271,bus268,2023,MW,0.0,0.0
bus269,bus258,2023,MW,0.0,0.0
bus258,bus269,2023,MW,0.0,0.0
bus269,bus260,2023,MW,0.0,0.0
bus260,bus269,2023,MW,0.0,0.0
bus269,bus270,2023,MW,0.0,0.0
bus270,bus269,2023,MW,0.0,0.0
bus27,bus30,2023,MW,0.0,0.0
bus30,bus27,2023,MW,0.0,0.0
bus272,bus102,2023,MW,0.0,0.0
bus102,bus272,2023,MW,0.0,0.0
bus272,bus246,2023,MW,0.0,0.0
bus246,bus272,2023,MW,0.0,0.0
bus272,bus273,2023,MW,0.0,0.0
bus273,bus272,2023,MW,0.0,0.0
bus273,bus252,2023,MW,0.0,0.0
bus252,bus273,2023,MW,0.0,0.0
bus273,bus269,2023,MW,0.0,0.0
bus269,bus273,2023,MW,0.0,0.0
bus275,bus289,2023,MW,0.0,0.0
bus289,bus275,2023,MW,0.0,0.0
bus276,bus274,2023,MW,0.0,0.0
bus274,bus276,2023,MW,0.0,0.0
bus276,bus275,2023,MW,0.0,0.0
bus275,bus276,2023,MW,0.0,0.0
bus277,bus276,2023,MW,0.0,0.0
bus276,bus277,2023,MW,0.0,0.0
bus277,bus293,2023,MW,0.0,0.0
bus293,bus277,2023,MW,0.0,0.0
bus279,bus277,2023,MW,0.0,0.0
bus277,bus279,2023,MW,0.0,0.0
bus279,bus278,2023,MW,0.0,0.0
bus278,bus279,2023,MW,0.0,0.0
bus28,bus45,2023,MW,0.0,0.0
bus45,bus28,2023,MW,0.0,0.0
bus281,bus278,2023,MW,0.0,0.0
bus278,bus281,2023,MW,0.0,0.0
bus281,bus282,2023,MW,0.0,0.0
bus282,bus281,2023,MW,0.0,0.0
bus283,bus103,2023,MW,0.0,0.0
bus103,bus283,2023,MW,0.0,0.0
bus283,bus284,2023,MW,0.0,0.0
bus284,bus283,2023,MW,0.0,0.0
bus284,bus285,2023,MW,0.0,0.0
bus285,bus284,2023,MW,0.0,0.0
bus285,bus288,2023,MW,0.0,0.0
bus288,bus285,2023,MW,0.0,0.0
bus286,bus287,2023,MW,0.0,0.0
bus287,bus286,2023,MW,0.0,0.0
bus286,bus288,2023,MW,0.0,0.0
bus288,bus286,2023,MW,0.0,0.0
bus288,bus105,2023,MW,0.0,0.0
bus105,bus288,2023,MW,0.0,0.0
bus289,bus288,2023,MW,0.0,0.0
bus288,bus289,2023,MW,0.0,0.0
bus289,bus290,2023,MW,0.0,0.0
bus290,bus289,2023,MW,0.0,0.0
bus291,bus303,2023,MW,0.0,0.0
bus303,bus291,2023,MW,0.0,0.0
bus292,bus273,2023,MW,0.0,0.0
bus273,bus292,2023,MW,0.0,0.0
bus292,bus293,2023,MW,0.0,0.0
bus293,bus292,2023,MW,0.0,0.0
bus292,bus294,2023,MW,0.0,0.0
bus294,bus292,2023,MW,0.0,0.0
bus293,bus291,2023,MW,0.0,0.0
bus291,bus293,2023,MW,0.0,0.0
bus295,bus294,2023,MW,0.0,0.0
bus294,bus295,2023,MW,0.0,0.0
bus295,bus299,2023,MW,0.0,0.0
bus299,bus295,2023,MW,0.0,0.0
bus296,bus251,2023,MW,0.0,0.0
bus251,bus296,2023,MW,0.0,0.0
bus296,bus273,2023,MW,0.0,0.0
bus273,bus296,2023,MW,0.0,0.0
bus296,bus297,2023,MW,0.0,0.0
bus297,bus296,2023,MW,0.0,0.0
bus296,bus309,2023,MW,0.0,0.0
bus309,bus296,2023,MW,0.0,0.0
bus297,bus298,2023,MW,0.0,0.0
bus298,bus297,2023,MW,0.0,0.0
bus298,bus295,2023,MW,0.0,0.0
bus295,bus298,2023,MW,0.0,0.0
bus299,bus300,2023,MW,0.0,0.0
bus300,bus299,2023,MW,0.0,0.0
bus30,bus31,2023,MW,0.0,0.0
bus31,bus30,2023,MW,0.0,0.0
bus30,bus57,2023,MW,0.0,0.0
bus57,bus30,2023,MW,0.0,0.0
bus300,bus301,2023,MW,0.0,0.0
bus301,bus300,2023,MW,0.0,0.0
bus301,bus308,2023,MW,0.0,0.0
bus308,bus301,2023,MW,0.0,0.0
bus303,bus302,2023,MW,0.0,0.0
bus302,bus303,2023,MW,0.0,0.0
bus304,bus302,2023,MW,0.0,0.0
bus302,bus304,2023,MW,0.0,0.0
bus304,bus305,2023,MW,0.0,0.0
bus305,bus304,2023,MW,0.0,0.0
bus306,bus307,2023,MW,0.0,0.0
bus307,bus306,2023,MW,0.0,0.0
bus306,bus311,2023,MW,0.0,0.0
bus311,bus306,2023,MW,0.0,0.0
bus307,bus305,2023,MW,0.0,0.0
bus305,bus307,2023,MW,0.0,0.0
bus308,bus307,2023,MW,0.0,0.0
bus307,bus308,2023,MW,0.0,0.0
bus309,bus310,2023,MW,0.0,0.0
bus310,bus309,2023,MW,0.0,0.0
bus31,bus32,2023,MW,0.0,0.0
bus32,bus31,2023,MW,0.0,0.0
bus310,bus308,2023,MW,0.0,0.0
bus308,bus310,2023,MW,0.0,0.0
bus310,bus336,2023,MW,0.0,0.0
bus336,bus310,2023,MW,0.0,0.0
bus311,bus312,2023,MW,0.0,0.0
bus312,bus311,2023,MW,0.0,0.0
bus312,bus313,2023,MW,0.0,0.0
bus313,bus312,2023,MW,0.0,0.0
bus313,bus321,2023,MW,0.0,0.0
