zone1,zone2,unit,value
bus374,bus378,fraction,0.95
bus378,bus374,fraction,0.95
bus375,bus371,fraction,0.95
bus371,bus375,fraction,0.95
bus375,bus456,fraction,0.95
bus456,bus375,fraction,0.95
bus376,bus375,fraction,0.95
bus375,bus376,fraction,0.95
bus376,bus377,fraction,0.95
bus377,bus376,fraction,0.95
bus376,bus455,fraction,0.95
bus455,bus376,fraction,0.95
bus377,bus374,fraction,0.95
bus374,bus377,fraction,0.95
bus378,bus368,fraction,0.95
bus368,bus378,fraction,0.95
bus378,bus377,fraction,0.95
bus377,bus378,fraction,0.95
bus378,bus402,fraction,0.95
bus402,bus378,fraction,0.95
bus378,bus452,fraction,0.95
bus452,bus378,fraction,0.95
bus379,bus377,fraction,0.95
bus377,bus379,fraction,0.95
bus379,bus454,fraction,0.95
bus454,bus379,fraction,0.95
bus38,bus34,fraction,0.95
bus34,bus38,fraction,0.95
bus381,bus382,fraction,0.95
bus382,bus381,fraction,0.95
bus381,bus383,fraction,0.95
bus383,bus381,fraction,0.95
bus381,bus384,fraction,0.95
bus384,bus381,fraction,0.95
bus381,bus386,fraction,0.95
bus386,bus381,fraction,0.95
bus381,bus390,fraction,0.95
bus390,bus381,fraction,0.95
bus382,bus384,fraction,0.95
bus384,bus382,fraction,0.95
bus383,bus373,fraction,0.95
bus373,bus383,fraction,0.95
bus383,bus379,fraction,0.95
bus379,bus383,fraction,0.95
bus384,bus385,fraction,0.95
bus385,bus384,fraction,0.95
bus384,bus418,fraction,0.95
bus418,bus384,fraction,0.95
bus385,bus386,fraction,0.95
bus386,bus385,fraction,0.95
bus385,bus404,fraction,0.95
bus404,bus385,fraction,0.95
bus386,bus374,fraction,0.95
bus374,bus386,fraction,0.95
bus387,bus381,fraction,0.95
bus381,bus387,fraction,0.95
bus387,bus388,fraction,0.95
bus388,bus387,fraction,0.95
bus388,bus386,fraction,0.95
bus386,bus388,fraction,0.95
bus389,bus390,fraction,0.95
bus390,bus389,fraction,0.95
bus39,bus29,fraction,0.95
bus29,bus39,fraction,0.95
bus39,bus32,fraction,0.95
bus32,bus39,fraction,0.95
bus39,bus38,fraction,0.95
bus38,bus39,fraction,0.95
bus390,bus391,fraction,0.95
bus391,bus390,fraction,0.95
bus391,bus392,fraction,0.95
bus392,bus391,fraction,0.95
